Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Hostname :  wr12
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
Tesnorflow version : 2.1.0
[7600] 	 RMSE: 0.1206 	 NLL: -0.6608 	 train_loss: 0.0139 	 t: 20.61 sec
[7700] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0154 	 t: 21.01 sec
[7800] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0140 	 t: 20.99 sec
[7900] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0297 	 t: 22.22 sec
[8000] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0211 	 t: 22.46 sec
[8100] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0238 	 t: 22.24 sec
[8200] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0143 	 t: 22.50 sec
[8300] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0158 	 t: 22.15 sec
[8400] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0238 	 t: 22.16 sec
[8500] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0207 	 t: 22.27 sec
[8600] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0188 	 t: 22.26 sec
[8700] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0227 	 t: 21.94 sec
[8800] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0168 	 t: 22.12 sec
[8900] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0226 	 t: 22.31 sec
[9000] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0227 	 t: 22.34 sec
[9100] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0206 	 t: 22.38 sec
[9200] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0165 	 t: 22.02 sec
[9300] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0225 	 t: 21.92 sec
[9400] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0241 	 t: 22.25 sec
[9500] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0208 	 t: 22.29 sec
[9600] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0181 	 t: 22.25 sec
[9700] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0150 	 t: 22.07 sec
[9800] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0216 	 t: 22.51 sec
[9900] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0149 	 t: 22.24 sec
[10000] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0262 	 t: 22.35 sec
[10100] 	 RMSE: 0.1178 	 NLL: -0.7005 	 train_loss: 0.0211 	 t: 22.42 sec
[10200] 	 RMSE: 0.1155 	 NLL: -0.7245 	 train_loss: 0.0170 	 t: 22.73 sec
[10300] 	 RMSE: 0.1155 	 NLL: -0.7245 	 train_loss: 0.0137 	 t: 22.34 sec
[10400] 	 RMSE: 0.1155 	 NLL: -0.7245 	 train_loss: 0.0156 	 t: 22.01 sec
[10500] 	 RMSE: 0.1155 	 NLL: -0.7245 	 train_loss: 0.0134 	 t: 22.11 sec
[10600] 	 RMSE: 0.1155 	 NLL: -0.7245 	 train_loss: 0.0167 	 t: 20.61 sec
[10700] 	 RMSE: 0.1155 	 NLL: -0.7245 	 train_loss: 0.0241 	 t: 20.55 sec
[10800] 	 RMSE: 0.1155 	 NLL: -0.7245 	 train_loss: 0.0173 	 t: 20.58 sec
[10900] 	 RMSE: 0.1155 	 NLL: -0.7245 	 train_loss: 0.0243 	 t: 21.85 sec
[11000] 	 RMSE: 0.1155 	 NLL: -0.7245 	 train_loss: 0.0169 	 t: 22.37 sec
[11100] 	 RMSE: 0.1155 	 NLL: -0.7245 	 train_loss: 0.0215 	 t: 22.08 sec
[11200] 	 RMSE: 0.1155 	 NLL: -0.7245 	 train_loss: 0.0164 	 t: 22.35 sec
[11300] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0153 	 t: 22.63 sec
[11400] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0272 	 t: 22.28 sec
[11500] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0175 	 t: 22.25 sec
[11600] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0138 	 t: 22.14 sec
[11700] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0147 	 t: 22.14 sec
[11800] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0196 	 t: 22.35 sec
[11900] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0235 	 t: 21.95 sec
[12000] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0213 	 t: 22.46 sec
[12100] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0216 	 t: 22.16 sec
[12200] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0188 	 t: 22.11 sec
[12300] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0157 	 t: 22.34 sec
[12400] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0158 	 t: 22.26 sec
[12500] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0137 	 t: 22.18 sec
[12600] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0156 	 t: 22.43 sec
[12700] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0140 	 t: 22.10 sec
[12800] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0194 	 t: 22.12 sec
[12900] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0150 	 t: 22.18 sec
[13000] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0157 	 t: 22.01 sec
[13100] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0137 	 t: 22.30 sec
[13200] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0171 	 t: 22.22 sec
[13300] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0233 	 t: 22.19 sec
[13400] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0128 	 t: 22.18 sec
[13500] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0194 	 t: 22.21 sec
[13600] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0106 	 t: 21.24 sec
[13700] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0188 	 t: 20.63 sec
[13800] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0157 	 t: 20.67 sec
[13900] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0152 	 t: 20.88 sec
[14000] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0164 	 t: 22.23 sec
[14100] 	 RMSE: 0.0945 	 NLL: -0.9554 	 train_loss: 0.0243 	 t: 22.25 sec
[14200] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0127 	 t: 22.57 sec
[14300] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0162 	 t: 22.33 sec
[14400] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0224 	 t: 22.26 sec
[14500] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0260 	 t: 22.19 sec
[14600] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0213 	 t: 22.27 sec
[14700] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0154 	 t: 22.27 sec
[14800] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0150 	 t: 22.54 sec
[14900] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0251 	 t: 21.99 sec
[15000] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0189 	 t: 22.25 sec
[15100] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0206 	 t: 22.04 sec
[15200] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0135 	 t: 21.89 sec
[15300] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0123 	 t: 22.34 sec
[15400] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0202 	 t: 22.23 sec
[15500] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0179 	 t: 22.25 sec
[15600] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0241 	 t: 22.12 sec
[15700] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0214 	 t: 22.31 sec
[15800] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0117 	 t: 22.59 sec
[15900] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0217 	 t: 22.12 sec
[16000] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0196 	 t: 22.18 sec
[16100] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0206 	 t: 22.55 sec
[16200] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0159 	 t: 22.25 sec
[16300] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0217 	 t: 22.26 sec
[16400] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0201 	 t: 21.97 sec
[16500] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0182 	 t: 21.90 sec
[16600] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0155 	 t: 22.11 sec
[16700] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0125 	 t: 20.62 sec
[16800] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0195 	 t: 20.61 sec
[16900] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0208 	 t: 20.65 sec
[17000] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0098 	 t: 21.89 sec
[17100] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0135 	 t: 22.33 sec
[17200] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0223 	 t: 22.16 sec
[17300] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0135 	 t: 22.45 sec
[17400] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0201 	 t: 22.04 sec
[17500] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0150 	 t: 22.35 sec
[17600] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0265 	 t: 22.22 sec
[17700] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0209 	 t: 22.22 sec
[17800] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0106 	 t: 21.96 sec
[17900] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0177 	 t: 22.03 sec
[18000] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0161 	 t: 22.08 sec
[18100] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0132 	 t: 22.18 sec
[18200] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0178 	 t: 22.23 sec
[18300] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0151 	 t: 22.38 sec
[18400] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0188 	 t: 22.06 sec
[18500] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0146 	 t: 22.06 sec
[18600] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0151 	 t: 22.16 sec
[18700] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0158 	 t: 22.02 sec
[18800] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0209 	 t: 22.56 sec
[18900] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0246 	 t: 22.08 sec
[19000] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0256 	 t: 21.89 sec
[19100] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0176 	 t: 22.40 sec
[19200] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0193 	 t: 22.33 sec
[19300] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0164 	 t: 22.34 sec
[19400] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0138 	 t: 22.28 sec
[19500] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0121 	 t: 22.29 sec
[19600] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0136 	 t: 21.97 sec
[19700] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0129 	 t: 21.38 sec
[19800] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0151 	 t: 20.49 sec
[19900] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0172 	 t: 20.56 sec
[20000] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0158 	 t: 20.77 sec
[20100] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0166 	 t: 22.28 sec
[20200] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0127 	 t: 22.30 sec
[20300] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0188 	 t: 22.36 sec
[20400] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0118 	 t: 22.34 sec
[20500] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0128 	 t: 22.09 sec
[20600] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0176 	 t: 22.41 sec
[20700] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0148 	 t: 22.29 sec
[20800] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0192 	 t: 22.55 sec
[20900] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0127 	 t: 22.25 sec
[21000] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0158 	 t: 22.22 sec
[21100] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0230 	 t: 22.13 sec
[21200] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0164 	 t: 22.17 sec
[21300] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0112 	 t: 22.25 sec
[21400] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0174 	 t: 22.21 sec
[21500] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0140 	 t: 22.37 sec
[21600] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0223 	 t: 22.49 sec
[21700] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0201 	 t: 22.15 sec
[21800] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0180 	 t: 22.23 sec
[21900] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0173 	 t: 22.24 sec
[22000] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0099 	 t: 22.18 sec
[22100] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0170 	 t: 22.02 sec
[22200] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0101 	 t: 22.34 sec
[22300] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0087 	 t: 22.15 sec
[22400] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0162 	 t: 22.09 sec
[22500] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0162 	 t: 22.25 sec
[22600] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0224 	 t: 22.08 sec
[22700] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0147 	 t: 22.46 sec
[22800] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0201 	 t: 20.54 sec
[22900] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0115 	 t: 20.60 sec
[23000] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0119 	 t: 20.52 sec
[23100] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0157 	 t: 21.52 sec
[23200] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0151 	 t: 22.33 sec
[23300] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0207 	 t: 22.02 sec
[23400] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0130 	 t: 22.20 sec
[23500] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0137 	 t: 22.24 sec
[23600] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0146 	 t: 22.04 sec
[23700] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0165 	 t: 22.35 sec
[23800] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0236 	 t: 22.28 sec
[23900] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0178 	 t: 21.88 sec
[24000] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0202 	 t: 22.31 sec
[24100] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0113 	 t: 22.25 sec
[24200] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0156 	 t: 22.12 sec
[24300] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0139 	 t: 22.17 sec
[24400] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0108 	 t: 22.20 sec
[24500] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0186 	 t: 22.21 sec
[24600] 	 RMSE: 0.0922 	 NLL: -0.9680 	 train_loss: 0.0174 	 t: 22.45 sec
