Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Sa 17. Apr 16:07:24 CEST 2021
Hostname :  wr14
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU'), PhysicalDevice(name='/physical_device:GPU:1', device_type='GPU')]
Tesnorflow version : 2.1.0
[8600]  RMSE: 0.0743 	 NLL: -1.9354 	 loss: -1.8004 	 reg_loss: 0.0678 	 lambda: 0.20 	 t: 48.77 sec
[8700]  RMSE: 0.0743 	 NLL: -1.9354 	 loss: -1.9173 	 reg_loss: 0.0574 	 lambda: 0.20 	 t: 48.84 sec
[8800]  RMSE: 0.0743 	 NLL: -1.9354 	 loss: -1.7987 	 reg_loss: 0.0658 	 lambda: 0.20 	 t: 48.79 sec
[8900]  RMSE: 0.0743 	 NLL: -1.9354 	 loss: -1.7664 	 reg_loss: 0.0708 	 lambda: 0.20 	 t: 48.82 sec
[9000]  RMSE: 0.0743 	 NLL: -1.9354 	 loss: -1.5295 	 reg_loss: 0.0829 	 lambda: 0.20 	 t: 48.77 sec
[9100]  RMSE: 0.0743 	 NLL: -1.9354 	 loss: -1.8284 	 reg_loss: 0.0659 	 lambda: 0.20 	 t: 48.83 sec
[9200]  RMSE: 0.0743 	 NLL: -2.0162 	 loss: -2.0059 	 reg_loss: 0.0519 	 lambda: 0.20 	 t: 49.56 sec
[9300]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -2.0514 	 reg_loss: 0.0541 	 lambda: 0.20 	 t: 49.55 sec
[9400]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.8358 	 reg_loss: 0.0666 	 lambda: 0.20 	 t: 48.83 sec
[9500]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.7823 	 reg_loss: 0.0728 	 lambda: 0.20 	 t: 48.86 sec
[9600]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.8065 	 reg_loss: 0.0679 	 lambda: 0.20 	 t: 48.78 sec
[9700]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.8766 	 reg_loss: 0.0636 	 lambda: 0.20 	 t: 48.84 sec
[9800]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.9713 	 reg_loss: 0.0600 	 lambda: 0.20 	 t: 48.91 sec
[9900]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.9365 	 reg_loss: 0.0595 	 lambda: 0.20 	 t: 48.82 sec
[10000]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.9363 	 reg_loss: 0.0580 	 lambda: 0.20 	 t: 48.79 sec
[10100]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.9143 	 reg_loss: 0.0586 	 lambda: 0.20 	 t: 48.83 sec
[10200]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.8322 	 reg_loss: 0.0625 	 lambda: 0.20 	 t: 48.89 sec
[10300]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.8980 	 reg_loss: 0.0644 	 lambda: 0.20 	 t: 48.83 sec
[10400]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.7496 	 reg_loss: 0.0614 	 lambda: 0.20 	 t: 48.86 sec
[10500]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -2.0160 	 reg_loss: 0.0557 	 lambda: 0.20 	 t: 48.89 sec
[10600]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.9595 	 reg_loss: 0.0526 	 lambda: 0.20 	 t: 48.79 sec
[10700]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.8394 	 reg_loss: 0.0570 	 lambda: 0.20 	 t: 48.83 sec
[10800]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.9064 	 reg_loss: 0.0543 	 lambda: 0.20 	 t: 48.92 sec
[10900]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.9483 	 reg_loss: 0.0588 	 lambda: 0.20 	 t: 48.91 sec
[11000]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.9116 	 reg_loss: 0.0601 	 lambda: 0.20 	 t: 48.92 sec
[11100]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.8491 	 reg_loss: 0.0586 	 lambda: 0.20 	 t: 48.82 sec
[11200]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.9785 	 reg_loss: 0.0545 	 lambda: 0.20 	 t: 48.80 sec
[11300]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.9938 	 reg_loss: 0.0547 	 lambda: 0.20 	 t: 48.82 sec
[11400]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -2.0452 	 reg_loss: 0.0559 	 lambda: 0.20 	 t: 48.95 sec
[11500]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.8528 	 reg_loss: 0.0615 	 lambda: 0.20 	 t: 48.88 sec
[11600]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.9796 	 reg_loss: 0.0625 	 lambda: 0.20 	 t: 48.82 sec
[11700]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.8923 	 reg_loss: 0.0605 	 lambda: 0.20 	 t: 48.90 sec
[11800]  RMSE: 0.0743 	 NLL: -2.0622 	 loss: -1.9768 	 reg_loss: 0.0515 	 lambda: 0.20 	 t: 48.83 sec
[11900]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -2.2116 	 reg_loss: 0.0397 	 lambda: 0.20 	 t: 49.89 sec
[12000]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -1.9496 	 reg_loss: 0.0643 	 lambda: 0.20 	 t: 48.78 sec
[12100]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -1.9672 	 reg_loss: 0.0558 	 lambda: 0.20 	 t: 48.85 sec
[12200]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -1.6601 	 reg_loss: 0.0705 	 lambda: 0.20 	 t: 48.86 sec
[12300]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -1.9079 	 reg_loss: 0.0603 	 lambda: 0.20 	 t: 48.81 sec
[12400]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -2.0724 	 reg_loss: 0.0471 	 lambda: 0.20 	 t: 48.81 sec
[12500]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -2.0570 	 reg_loss: 0.0442 	 lambda: 0.20 	 t: 48.76 sec
[12600]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -1.7110 	 reg_loss: 0.0750 	 lambda: 0.20 	 t: 48.79 sec
[12700]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -1.9086 	 reg_loss: 0.0606 	 lambda: 0.20 	 t: 48.83 sec
[12800]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -2.0357 	 reg_loss: 0.0523 	 lambda: 0.20 	 t: 48.78 sec
[12900]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -1.8713 	 reg_loss: 0.0653 	 lambda: 0.20 	 t: 48.83 sec
[13000]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -2.1178 	 reg_loss: 0.0513 	 lambda: 0.20 	 t: 48.85 sec
[13100]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -2.0159 	 reg_loss: 0.0476 	 lambda: 0.20 	 t: 48.83 sec
[13200]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -1.9599 	 reg_loss: 0.0537 	 lambda: 0.20 	 t: 48.81 sec
[13300]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -1.9865 	 reg_loss: 0.0490 	 lambda: 0.20 	 t: 48.83 sec
[13400]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -2.1462 	 reg_loss: 0.0509 	 lambda: 0.20 	 t: 48.86 sec
[13500]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -2.1817 	 reg_loss: 0.0440 	 lambda: 0.20 	 t: 48.81 sec
[13600]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -1.9974 	 reg_loss: 0.0518 	 lambda: 0.20 	 t: 48.90 sec
[13700]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -2.0518 	 reg_loss: 0.0525 	 lambda: 0.20 	 t: 48.85 sec
[13800]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -1.9831 	 reg_loss: 0.0606 	 lambda: 0.20 	 t: 48.88 sec
[13900]  RMSE: 0.0608 	 NLL: -2.2195 	 loss: -2.0177 	 reg_loss: 0.0591 	 lambda: 0.20 	 t: 49.01 sec
[14000]  RMSE: 0.0608 	 NLL: -2.2684 	 loss: -2.2599 	 reg_loss: 0.0428 	 lambda: 0.20 	 t: 49.48 sec
[14100]  RMSE: 0.0608 	 NLL: -2.2684 	 loss: -2.0780 	 reg_loss: 0.0468 	 lambda: 0.20 	 t: 48.92 sec
[14200]  RMSE: 0.0608 	 NLL: -2.2684 	 loss: -2.0947 	 reg_loss: 0.0557 	 lambda: 0.20 	 t: 48.86 sec
[14300]  RMSE: 0.0608 	 NLL: -2.2684 	 loss: -2.1678 	 reg_loss: 0.0444 	 lambda: 0.20 	 t: 48.85 sec
[14400]  RMSE: 0.0608 	 NLL: -2.2684 	 loss: -2.0255 	 reg_loss: 0.0543 	 lambda: 0.20 	 t: 48.84 sec
[14500]  RMSE: 0.0608 	 NLL: -2.2684 	 loss: -2.1400 	 reg_loss: 0.0481 	 lambda: 0.20 	 t: 48.84 sec
[14600]  RMSE: 0.0608 	 NLL: -2.2684 	 loss: -2.0306 	 reg_loss: 0.0545 	 lambda: 0.20 	 t: 48.84 sec
[14700]  RMSE: 0.0608 	 NLL: -2.2684 	 loss: -1.9893 	 reg_loss: 0.0534 	 lambda: 0.20 	 t: 48.97 sec
[14800]  RMSE: 0.0608 	 NLL: -2.2684 	 loss: -2.0028 	 reg_loss: 0.0575 	 lambda: 0.20 	 t: 48.87 sec
[14900]  RMSE: 0.0608 	 NLL: -2.2684 	 loss: -1.9855 	 reg_loss: 0.0599 	 lambda: 0.20 	 t: 48.86 sec
[15000]  RMSE: 0.0608 	 NLL: -2.2684 	 loss: -2.0139 	 reg_loss: 0.0519 	 lambda: 0.20 	 t: 48.86 sec
[15100]  RMSE: 0.0608 	 NLL: -2.2903 	 loss: -2.2824 	 reg_loss: 0.0394 	 lambda: 0.20 	 t: 49.51 sec
[15200]  RMSE: 0.0608 	 NLL: -2.2903 	 loss: -2.2092 	 reg_loss: 0.0442 	 lambda: 0.20 	 t: 48.79 sec
[15300]  RMSE: 0.0608 	 NLL: -2.2903 	 loss: -2.0599 	 reg_loss: 0.0503 	 lambda: 0.20 	 t: 48.84 sec
[15400]  RMSE: 0.0608 	 NLL: -2.2903 	 loss: -2.1292 	 reg_loss: 0.0474 	 lambda: 0.20 	 t: 48.85 sec
[15500]  RMSE: 0.0608 	 NLL: -2.2903 	 loss: -1.8913 	 reg_loss: 0.0681 	 lambda: 0.20 	 t: 49.05 sec
[15600]  RMSE: 0.0608 	 NLL: -2.2903 	 loss: -2.1660 	 reg_loss: 0.0416 	 lambda: 0.20 	 t: 48.80 sec
[15700]  RMSE: 0.0608 	 NLL: -2.2903 	 loss: -1.9733 	 reg_loss: 0.0583 	 lambda: 0.20 	 t: 48.78 sec
[15800]  RMSE: 0.0608 	 NLL: -2.2903 	 loss: -2.1506 	 reg_loss: 0.0498 	 lambda: 0.20 	 t: 48.80 sec
[15900]  RMSE: 0.0608 	 NLL: -2.2903 	 loss: -2.1066 	 reg_loss: 0.0551 	 lambda: 0.20 	 t: 48.83 sec
[16000]  RMSE: 0.0608 	 NLL: -2.2903 	 loss: -2.1090 	 reg_loss: 0.0412 	 lambda: 0.20 	 t: 48.87 sec
[16100]  RMSE: 0.0608 	 NLL: -2.2903 	 loss: -2.2508 	 reg_loss: 0.0421 	 lambda: 0.20 	 t: 48.89 sec
