Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Mo 19. Apr 08:30:23 CEST 2021
Mo 19. Apr 08:30:23 CEST 2021
0
Hostname :  wr17
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
Tesnorflow version : 2.1.0
[7900] 	 RMSE: 0.1272 	 NLL: -0.5320 	 train_loss: -0.6893 	 t: 41.19 sec
[8000] 	 RMSE: 0.1272 	 NLL: -0.5320 	 train_loss: -0.5959 	 t: 38.01 sec
[8100] 	 RMSE: 0.1272 	 NLL: -0.5320 	 train_loss: -0.6357 	 t: 36.83 sec
[8200] 	 RMSE: 0.1272 	 NLL: -0.5320 	 train_loss: -0.6464 	 t: 36.12 sec
[8300] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.6947 	 t: 37.34 sec
[8400] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.6622 	 t: 36.45 sec
[8500] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.6432 	 t: 36.25 sec
[8600] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.6787 	 t: 35.39 sec
[8700] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.5649 	 t: 35.60 sec
[8800] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.6489 	 t: 35.46 sec
[8900] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.8688 	 t: 35.69 sec
[9000] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.7259 	 t: 35.41 sec
[9100] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.6010 	 t: 35.64 sec
[9200] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.7113 	 t: 35.38 sec
[9300] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.7419 	 t: 35.82 sec
[9400] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.8199 	 t: 35.41 sec
[9500] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.4072 	 t: 36.45 sec
[9600] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.7099 	 t: 36.48 sec
[9700] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.7991 	 t: 35.61 sec
[9800] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.6116 	 t: 35.58 sec
[9900] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.7740 	 t: 35.60 sec
[10000] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.7705 	 t: 35.62 sec
[10100] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.6228 	 t: 35.86 sec
[10200] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.8079 	 t: 35.72 sec
[10300] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.8714 	 t: 36.11 sec
[10400] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.6899 	 t: 36.11 sec
[10500] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.5538 	 t: 36.01 sec
[10600] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.7484 	 t: 35.77 sec
[10700] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.7247 	 t: 36.86 sec
[10800] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.8424 	 t: 40.51 sec
[10900] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.8299 	 t: 40.31 sec
[11000] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.7057 	 t: 40.53 sec
[11100] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.6624 	 t: 40.68 sec
[11200] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.6754 	 t: 40.09 sec
[11300] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.7913 	 t: 36.28 sec
[11400] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.9003 	 t: 41.84 sec
[11500] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.8485 	 t: 44.67 sec
[11600] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.7265 	 t: 44.42 sec
[11700] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.7733 	 t: 44.11 sec
[11800] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.8566 	 t: 43.63 sec
[11900] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.8589 	 t: 43.61 sec
[12000] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.7896 	 t: 43.64 sec
[12100] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.8738 	 t: 43.93 sec
[12200] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.7656 	 t: 43.85 sec
[12300] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.7989 	 t: 43.29 sec
[12400] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.8036 	 t: 43.60 sec
[12500] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.6968 	 t: 43.74 sec
[12600] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.8986 	 t: 42.38 sec
[12700] 	 RMSE: 0.1043 	 NLL: -0.8307 	 train_loss: -0.8562 	 t: 38.69 sec
[12800] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.6896 	 t: 38.48 sec
[12900] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7436 	 t: 38.56 sec
[13000] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7652 	 t: 41.34 sec
[13100] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.6657 	 t: 43.73 sec
[13200] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.6640 	 t: 43.62 sec
[13300] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8240 	 t: 43.58 sec
[13400] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7985 	 t: 43.33 sec
[13500] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8701 	 t: 43.74 sec
[13600] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8627 	 t: 43.46 sec
[13700] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7649 	 t: 43.33 sec
[13800] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8298 	 t: 43.72 sec
[13900] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7245 	 t: 43.64 sec
[14000] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7273 	 t: 43.36 sec
[14100] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8947 	 t: 43.62 sec
[14200] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.5593 	 t: 38.59 sec
[14300] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7544 	 t: 38.64 sec
[14400] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8921 	 t: 38.29 sec
[14500] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7694 	 t: 39.63 sec
[14600] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7614 	 t: 43.23 sec
[14700] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.9042 	 t: 43.56 sec
[14800] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8642 	 t: 43.52 sec
[14900] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.6113 	 t: 43.40 sec
[15000] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.9171 	 t: 43.66 sec
