Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
So 18. Apr 08:48:50 CEST 2021
Hostname :  wr14
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU'), PhysicalDevice(name='/physical_device:GPU:1', device_type='GPU')]
Tesnorflow version : 2.1.0
[5400]  RMSE: 0.1112 	 NLL: -1.2584 	 loss: -1.1003 	 reg_loss: 0.0723 	 lambda: 0.20 	 t: 49.60 sec
[5500]  RMSE: 0.1112 	 NLL: -1.2584 	 loss: -1.0852 	 reg_loss: 0.0759 	 lambda: 0.20 	 t: 49.65 sec
[5600]  RMSE: 0.1112 	 NLL: -1.2584 	 loss: -1.0975 	 reg_loss: 0.0742 	 lambda: 0.20 	 t: 49.71 sec
[5700]  RMSE: 0.1112 	 NLL: -1.2584 	 loss: -1.1813 	 reg_loss: 0.0674 	 lambda: 0.20 	 t: 49.63 sec
[5800]  RMSE: 0.1112 	 NLL: -1.2584 	 loss: -0.9255 	 reg_loss: 0.0886 	 lambda: 0.20 	 t: 49.57 sec
[5900]  RMSE: 0.1112 	 NLL: -1.2584 	 loss: -1.1741 	 reg_loss: 0.0689 	 lambda: 0.20 	 t: 49.70 sec
[6000]  RMSE: 0.1112 	 NLL: -1.2584 	 loss: -1.1849 	 reg_loss: 0.0658 	 lambda: 0.20 	 t: 49.63 sec
[6100]  RMSE: 0.1112 	 NLL: -1.2584 	 loss: -1.1411 	 reg_loss: 0.0723 	 lambda: 0.20 	 t: 49.61 sec
[6200]  RMSE: 0.1112 	 NLL: -1.2766 	 loss: -1.2638 	 reg_loss: 0.0640 	 lambda: 0.20 	 t: 50.29 sec
[6300]  RMSE: 0.1112 	 NLL: -1.2766 	 loss: -1.2465 	 reg_loss: 0.0634 	 lambda: 0.20 	 t: 49.81 sec
[6400]  RMSE: 0.1112 	 NLL: -1.2766 	 loss: -1.1823 	 reg_loss: 0.0723 	 lambda: 0.20 	 t: 49.64 sec
[6500]  RMSE: 0.1112 	 NLL: -1.3131 	 loss: -1.3009 	 reg_loss: 0.0610 	 lambda: 0.20 	 t: 50.39 sec
[6600]  RMSE: 0.1112 	 NLL: -1.3131 	 loss: -1.2181 	 reg_loss: 0.0676 	 lambda: 0.20 	 t: 49.62 sec
[6700]  RMSE: 0.1112 	 NLL: -1.3869 	 loss: -1.3753 	 reg_loss: 0.0579 	 lambda: 0.20 	 t: 50.32 sec
[6800]  RMSE: 0.1112 	 NLL: -1.3869 	 loss: -1.3016 	 reg_loss: 0.0598 	 lambda: 0.20 	 t: 49.61 sec
[6900]  RMSE: 0.1112 	 NLL: -1.3869 	 loss: -1.2581 	 reg_loss: 0.0635 	 lambda: 0.20 	 t: 49.59 sec
[7000]  RMSE: 0.1112 	 NLL: -1.3869 	 loss: -1.2869 	 reg_loss: 0.0607 	 lambda: 0.20 	 t: 49.64 sec
[7100]  RMSE: 0.1112 	 NLL: -1.3869 	 loss: -1.2402 	 reg_loss: 0.0648 	 lambda: 0.20 	 t: 49.55 sec
[7200]  RMSE: 0.1112 	 NLL: -1.3869 	 loss: -1.2156 	 reg_loss: 0.0689 	 lambda: 0.20 	 t: 49.65 sec
[7300]  RMSE: 0.1112 	 NLL: -1.3869 	 loss: -1.1120 	 reg_loss: 0.0731 	 lambda: 0.20 	 t: 49.62 sec
[7400]  RMSE: 0.1112 	 NLL: -1.3869 	 loss: -1.0660 	 reg_loss: 0.0805 	 lambda: 0.20 	 t: 49.63 sec
[7500]  RMSE: 0.1112 	 NLL: -1.4435 	 loss: -1.4329 	 reg_loss: 0.0529 	 lambda: 0.20 	 t: 50.33 sec
[7600]  RMSE: 0.1112 	 NLL: -1.4435 	 loss: -1.2774 	 reg_loss: 0.0669 	 lambda: 0.20 	 t: 49.65 sec
[7700]  RMSE: 0.1112 	 NLL: -1.4435 	 loss: -1.3395 	 reg_loss: 0.0589 	 lambda: 0.20 	 t: 49.67 sec
[7800]  RMSE: 0.1013 	 NLL: -1.5419 	 loss: -1.5324 	 reg_loss: 0.0475 	 lambda: 0.20 	 t: 50.66 sec
[7900]  RMSE: 0.1013 	 NLL: -1.5419 	 loss: -1.4441 	 reg_loss: 0.0562 	 lambda: 0.20 	 t: 49.61 sec
[8000]  RMSE: 0.1013 	 NLL: -1.5419 	 loss: -1.3469 	 reg_loss: 0.0557 	 lambda: 0.20 	 t: 49.78 sec
[8100]  RMSE: 0.1013 	 NLL: -1.5419 	 loss: -1.1866 	 reg_loss: 0.0739 	 lambda: 0.20 	 t: 49.67 sec
[8200]  RMSE: 0.1013 	 NLL: -1.5419 	 loss: -1.2480 	 reg_loss: 0.0673 	 lambda: 0.20 	 t: 49.59 sec
[8300]  RMSE: 0.1013 	 NLL: -1.5419 	 loss: -1.3860 	 reg_loss: 0.0596 	 lambda: 0.20 	 t: 49.66 sec
[8400]  RMSE: 0.1013 	 NLL: -1.5419 	 loss: -1.4061 	 reg_loss: 0.0599 	 lambda: 0.20 	 t: 49.67 sec
[8500]  RMSE: 0.1013 	 NLL: -1.5419 	 loss: -1.3945 	 reg_loss: 0.0578 	 lambda: 0.20 	 t: 49.62 sec
[8600]  RMSE: 0.1013 	 NLL: -1.5419 	 loss: -1.4131 	 reg_loss: 0.0591 	 lambda: 0.20 	 t: 49.68 sec
[8700]  RMSE: 0.1013 	 NLL: -1.5419 	 loss: -1.4483 	 reg_loss: 0.0529 	 lambda: 0.20 	 t: 49.66 sec
[8800]  RMSE: 0.1013 	 NLL: -1.5419 	 loss: -1.2820 	 reg_loss: 0.0676 	 lambda: 0.20 	 t: 49.64 sec
[8900]  RMSE: 0.1013 	 NLL: -1.5419 	 loss: -1.2504 	 reg_loss: 0.0697 	 lambda: 0.20 	 t: 49.63 sec
