Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Mo 19. Apr 23:13:16 CEST 2021
Hostname :  wr17
####### trying gpu
#######  Training Laplace
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
Tesnorflow version : 2.1.0
[7400] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.1397 	 t: 25.85 sec
[7500] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -0.9497 	 t: 25.77 sec
[7600] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.0678 	 t: 25.71 sec
[7700] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -0.9852 	 t: 25.80 sec
[7800] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -0.9996 	 t: 25.75 sec
[7900] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -0.9825 	 t: 25.83 sec
[8000] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -0.8518 	 t: 25.69 sec
[8100] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.0281 	 t: 25.87 sec
[8200] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.0247 	 t: 25.66 sec
[8300] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.2151 	 t: 25.74 sec
[8400] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.1753 	 t: 25.62 sec
[8500] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.2841 	 t: 25.68 sec
[8600] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.3997 	 t: 25.65 sec
[8700] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.2294 	 t: 25.76 sec
[8800] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.1713 	 t: 25.68 sec
[8900] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.1389 	 t: 25.62 sec
[9000] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.2910 	 t: 25.56 sec
[9100] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.2094 	 t: 25.60 sec
[9200] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.2758 	 t: 25.70 sec
[9300] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.3013 	 t: 25.77 sec
[9400] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.4642 	 t: 25.72 sec
[9500] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.1901 	 t: 25.59 sec
[9600] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.0560 	 t: 25.81 sec
[9700] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.3296 	 t: 25.78 sec
[9800] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.2047 	 t: 25.55 sec
[9900] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.1746 	 t: 25.73 sec
[10000] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.0728 	 t: 25.76 sec
[10100] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.2347 	 t: 25.74 sec
[10200] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.3656 	 t: 25.65 sec
[10300] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.2133 	 t: 25.87 sec
[10400] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.2143 	 t: 25.73 sec
[10500] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.3248 	 t: 25.67 sec
[10600] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.1807 	 t: 25.77 sec
[10700] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.4061 	 t: 25.39 sec
[10800] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.4017 	 t: 27.17 sec
[10900] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.3487 	 t: 27.12 sec
[11000] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.1283 	 t: 27.22 sec
[11100] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.1848 	 t: 27.16 sec
[11200] 	 RMSE: 0.1128 	 NLL: -0.7735 	 train_loss: -1.2386 	 t: 27.50 sec
